date,open,high,low,close,volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20,wti_ma5,nlp_pos,nlp_neg,nlp_neu,nlp_compound
2021-04-06,126.5,127.13,125.65,126.21,80170000,28.6,30.8,13435.268,13278.4305,0.3496,0.3276,79.22,0.0553,0.8138,0.131,-0.3002
2021-04-07,125.83,127.92,125.14,127.9,83470000,28.6,30.8,13563.958,13309.181,0.3486,0.3275,79.278,0.0553,0.8138,0.131,-0.3002
2021-04-08,128.95,130.39,128.52,130.36,88850000,28.6,30.8,13680.446,13347.205,0.345,0.3265,79.44,0.0553,0.8138,0.131,-0.3002
2021-04-09,129.8,133.04,129.47,132.99,106690000,28.6,30.8,13764.46,13372.2805,0.337,0.3281,79.686,0.0553,0.8138,0.131,-0.3002
2021-04-12,132.52,132.85,130.63,131.24,91420000,28.6,30.8,13793.342,13398.787,0.3376,0.33,79.812,0.0553,0.8138,0.131,-0.3002
2021-04-13,132.44,134.66,131.93,134.43,91270000,28.6,30.8,13852.886,13425.6065,0.3412,0.3312,79.786,0.0553,0.8138,0.131,-0.3002
2021-04-14,134.94,135,131.65,132.03,87220000,28.6,30.8,13886.686,13444.92,0.3486,0.3331,79.742,0.0553,0.8138,0.131,-0.3002
2021-04-15,133.82,135,133.64,134.5,89350000,28.6,30.8,13928.576,13470.598,0.3496,0.3348,79.906,0.0553,0.8138,0.131,-0.3002
2021-04-16,134.3,134.67,133.28,134.16,84920000,28.6,30.8,13959.008,13517.4065,0.3494,0.3368,80.09,0.0553,0.8138,0.131,-0.3002
2021-04-19,133.51,135.46,133.37,134.84,94260000,28.6,30.8,13971.96,13552.3825,0.3456,0.3409,80.132,0.0553,0.8138,0.131,-0.3002
2021-04-20,135.26,135.52,131.86,133.11,94810000,28.6,30.8,13929.994,13572.819,0.3386,0.3416,80.452,0.0553,0.8138,0.131,-0.3002
2021-04-21,132.39,133.73,131.36,133.5,68850000,28.6,30.8,13948.47,13608.945,0.3344,0.3417,80.802,0.0553,0.8138,0.131,-0.3002
2021-04-22,132.96,134.15,131.42,131.94,84570000,28.6,30.8,13904.4,13651.771,0.328,0.341,80.92,0.0553,0.8138,0.131,-0.3002
2021-04-23,132.16,135.12,132.16,134.32,78760000,28.6,30.8,13897.294,13703.7275,0.3264,0.3403,80.738,0.0553,0.8138,0.131,-0.3002
2021-04-26,134.76,135.04,133.58,134.72,66910000,28.6,30.8,13942.098,13753.7305,0.3294,0.3404,80.52,0.0553,0.8138,0.131,-0.3002
2021-04-27,135.24,135.35,134.13,134.39,66020000,28.6,30.8,14002.888,13805.259,0.3372,0.3396,79.966,0.0553,0.8138,0.131,-0.3002
2021-04-28,134.37,134.98,133.09,133.58,107760000,28.6,30.8,14023.05,13855.541,0.3414,0.3383,79.49,0.0553,0.8138,0.131,-0.3002
2021-04-29,136.72,136.99,132.49,133.48,151100000,28.6,30.8,14075.878,13897.325,0.342,0.3384,79.244,0.0553,0.8138,0.131,-0.3002
2021-04-30,131.77,133.55,131.12,131.46,109840000,28.6,30.8,14065.052,13921.4535,0.3414,0.3383,79.426,0.0553,0.8138,0.131,-0.3002
2021-05-03,132.07,134.06,131.84,132.54,75140000,28.6,30.8,14016.32,13930.93,0.3318,0.3382,79.784,0.0553,0.8138,0.131,-0.3002
2021-05-04,128.6,128.6,126.74,127.85,136570000,28.6,30.8,13924.976,13927.686,0.3286,0.3368,80.29,0.0553,0.8138,0.131,-0.3002
